epoch,accuracy,learning_rate,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.7777777910232544,9.999999747378752e-06,0.6198143362998962,0.9200680255889893,0.808398962020874,0.6792075634002686,0.9422572255134583
1,0.8083900213241577,9.999999747378752e-06,0.5658281445503235,0.9382086396217346,0.7952755689620972,0.7549196481704712,0.9212598204612732
2,0.8134920597076416,9.999999747378752e-06,0.5430383086204529,0.9478458166122437,0.787401556968689,0.7674208283424377,0.9212598204612732
3,0.8140589594841003,9.999999747378752e-06,0.5271614193916321,0.9489796161651611,0.7979002594947815,0.750967264175415,0.9212598204612732
4,0.8248299360275269,9.999999747378752e-06,0.5132297277450562,0.9535147547721863,0.7952755689620972,0.756920576095581,0.9238845109939575
5,0.8446711897850037,9.999999747378752e-06,0.4915863871574402,0.9557822942733765,0.8110235929489136,0.7297372221946716,0.9370078444480896
6,0.8242630362510681,4.999999873689376e-06,0.5225438475608826,0.9461451172828674,0.8215222954750061,0.6899845600128174,0.9396325349807739
7,0.8492063283920288,4.999999873689376e-06,0.454847514629364,0.9608843326568604,0.8188976645469666,0.663368821144104,0.9396325349807739
8,0.841269850730896,4.999999873689376e-06,0.47549980878829956,0.9563491940498352,0.8320209980010986,0.6410425305366516,0.9448819160461426
9,0.839002251625061,4.999999873689376e-06,0.48307883739471436,0.954081654548645,0.8398950099945068,0.629280149936676,0.9448819160461426
10,0.8497732281684875,4.999999873689376e-06,0.44626662135124207,0.966553270816803,0.8398950099945068,0.6146590113639832,0.9448819160461426
11,0.85317462682724,4.999999873689376e-06,0.4413187801837921,0.963718831539154,0.8451443314552307,0.603590726852417,0.9422572255134583
12,0.8480725884437561,4.999999873689376e-06,0.4326808452606201,0.9659863710403442,0.8451443314552307,0.601844310760498,0.9422572255134583
13,0.8486394286155701,4.999999873689376e-06,0.4406508505344391,0.9676870703697205,0.8425197005271912,0.5936911106109619,0.9422572255134583
14,0.8435373902320862,4.999999873689376e-06,0.44756680727005005,0.9563491940498352,0.8451443314552307,0.5917157530784607,0.9448819160461426
15,0.8577097654342651,4.999999873689376e-06,0.4216591417789459,0.9654195308685303,0.8451443314552307,0.585564136505127,0.9422572255134583
16,0.8633787035942078,4.999999873689376e-06,0.41076427698135376,0.9642857313156128,0.8451443314552307,0.5812575221061707,0.9448819160461426
17,0.8650793433189392,4.999999873689376e-06,0.39213481545448303,0.9620181322097778,0.8503937125205994,0.5769925713539124,0.9475065469741821
18,0.862811803817749,4.999999873689376e-06,0.41539233922958374,0.9614512324333191,0.8503937125205994,0.5744527578353882,0.9501312375068665
19,0.8707482814788818,4.999999873689376e-06,0.38426071405410767,0.966553270816803,0.8556430339813232,0.5723610520362854,0.9580052495002747
