epoch,accuracy,learning_rate,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
0,0.5640589594841003,0.0010000000474974513,1.4075305461883545,0.7766439914703369,0.76115483045578,0.6760743856430054,0.9081364870071411
1,0.7199546694755554,0.0010000000474974513,0.8345375657081604,0.89682537317276,0.7926509380340576,0.6779806613922119,0.9291338324546814
2,0.7585033774375916,0.0010000000474974513,0.7192893028259277,0.9126983880996704,0.8162729740142822,0.5969018340110779,0.93438321352005
3,0.7641723155975342,0.0010000000474974513,0.707176923751831,0.9200680255889893,0.8267716765403748,0.598639965057373,0.9553805589675903
4,0.8061224222183228,0.0010000000474974513,0.5600372552871704,0.9387755393981934,0.8320209980010986,0.5780742764472961,0.9370078444480896
5,0.8089569211006165,0.0010000000474974513,0.5205221176147461,0.954081654548645,0.8398950099945068,0.571704626083374,0.9422572255134583
6,0.8458049893379211,0.0010000000474974513,0.48926353454589844,0.956916093826294,0.8425197005271912,0.5510151982307434,0.9422572255134583
7,0.8339002132415771,0.0010000000474974513,0.4962824881076813,0.9529478549957275,0.834645688533783,0.583301842212677,0.9475065469741821
8,0.8463718891143799,0.0010000000474974513,0.4482370913028717,0.9693877696990967,0.8398950099945068,0.5945922136306763,0.9422572255134583
9,0.8469387888908386,0.0010000000474974513,0.4418119490146637,0.9608843326568604,0.8372703194618225,0.5644418597221375,0.9396325349807739
10,0.8633787035942078,0.0010000000474974513,0.4151008129119873,0.966553270816803,0.8635170459747314,0.5829901695251465,0.9501312375068665
11,0.8684807419776917,0.0010000000474974513,0.39924341440200806,0.966553270816803,0.8451443314552307,0.5610801577568054,0.9527559280395508
12,0.8877550959587097,0.0005000000237487257,0.34746089577674866,0.976190447807312,0.8372703194618225,0.570496141910553,0.9553805589675903
13,0.8877550959587097,0.0005000000237487257,0.35292571783065796,0.9790249466896057,0.8530183434486389,0.5498337149620056,0.9553805589675903
14,0.8905895948410034,0.0005000000237487257,0.34433650970458984,0.9699546694755554,0.834645688533783,0.5708220601081848,0.9527559280395508
15,0.8883219957351685,0.0005000000237487257,0.31939196586608887,0.9835600852966309,0.8398950099945068,0.5842377543449402,0.9553805589675903
16,0.8922902345657349,0.0005000000237487257,0.3325505554676056,0.9705215692520142,0.8556430339813232,0.5658940076828003,0.9553805589675903
17,0.8894557952880859,0.0005000000237487257,0.3295896649360657,0.976190447807312,0.8425197005271912,0.562700629234314,0.9501312375068665
18,0.9036281108856201,0.0005000000237487257,0.3064001202583313,0.9773242473602295,0.8503937125205994,0.5671741962432861,0.9527559280395508
19,0.9041950106620789,0.0002500000118743628,0.303496390581131,0.976190447807312,0.8503937125205994,0.5690953731536865,0.9501312375068665
20,0.918367326259613,0.0002500000118743628,0.2814381718635559,0.9795918464660645,0.8398950099945068,0.5701767206192017,0.9527559280395508
